?s	?nap_id	?class	?napralert_code	?name	?eq	?comment	?partof	?subclasses
<https://www.napralert.org/data/animal/24>	24	<http://www.w3.org/2002/07/owl#Class>	PR	RAT(PREGNANT)				UBERON_0009097
<https://www.napralert.org/data/animal/83>	83	<http://www.w3.org/2002/07/owl#Class>	A6	PARAHYALE HAWAIENSIS		Should be renamed Parhyale hawaiensis (J.B.)		NCBITaxon_317513
<https://www.napralert.org/data/animal/241>	241	<http://www.w3.org/2002/07/owl#Class>	MD	MACACA FASCICULARIS				NCBITaxon_9541
<https://www.napralert.org/data/animal/3>	3	<http://www.w3.org/2002/07/owl#Class>	GU	GUPPY				NCBITaxon_8081
<https://www.napralert.org/data/animal/172>	172	<http://www.w3.org/2002/07/owl#Class>	FH	FUND.HETEROCL.		Rename to Fundulus heteroclitus (J.B.)		NCBITaxon_8078
<https://www.napralert.org/data/animal/46>	46	<http://www.w3.org/2002/07/owl#Class>	RW	RAT(HAIRLESS)				NCBITaxon_10114
<https://www.napralert.org/data/animal/237>	237	<http://www.w3.org/2002/07/owl#Class>	M9	XENOPUS LAEVIS EGGS(UNFERTILIZED)				UBERON_3010636
<https://www.napralert.org/data/animal/79>	79	<http://www.w3.org/2002/07/owl#Class>	A2	ACERINA CERNUA				NCBITaxon_57865
<https://www.napralert.org/data/animal/195>	195	<http://www.w3.org/2002/07/owl#Class>	HF	FETUS(HUMAN)				UBERON_0000323|NCBITaxon_9606
<https://www.napralert.org/data/animal/180>	180	<http://www.w3.org/2002/07/owl#Class>	GE	GERBIL				NCBITaxon_10045
<https://www.napralert.org/data/animal/108>	108	<http://www.w3.org/2002/07/owl#Class>	BD	DOG(BEAGLE)				NCBITaxon_9615
<https://www.napralert.org/data/animal/59>	59	<http://www.w3.org/2002/07/owl#Class>	ST	STEER				PATO_0000384|PATO_0002367|NCBITaxon_9913
<https://www.napralert.org/data/animal/192>	192	<http://www.w3.org/2002/07/owl#Class>	HB	HYRIOPSIS CUMINGII				NCBITaxon_165450
